                name                 |              setting               | unit |                             category                              | pending_restart
-------------------------------------+------------------------------------+------+-------------------------------------------------------------------+-----------------
 autovacuum                          | on                                 |      | Autovacuum                                                        | f
 autovacuum_analyze_scale_factor     | 0.02                               |      | Autovacuum                                                        | f
 autovacuum_analyze_threshold        | 100                                |      | Autovacuum                                                        | f
 autovacuum_freeze_max_age           | 1000000000                         |      | Autovacuum                                                        | f
 autovacuum_max_workers              | 6                                  |      | Autovacuum                                                        | f
 autovacuum_multixact_freeze_max_age | 400000000                          |      | Autovacuum                                                        | f
 autovacuum_naptime                  | 180                                | s    | Autovacuum                                                        | f
 autovacuum_vacuum_cost_delay        | 10                                 | ms   | Autovacuum                                                        | f
 autovacuum_vacuum_cost_limit        | -1                                 |      | Autovacuum                                                        | f
 autovacuum_vacuum_scale_factor      | 0.02                               |      | Autovacuum                                                        | f
 autovacuum_vacuum_threshold         | 100                                |      | Autovacuum                                                        | f
 client_encoding                     | UTF8                               |      | Client Connection Defaults / Locale and Formatting                | f
 DateStyle                           | ISO, MDY                           |      | Client Connection Defaults / Locale and Formatting                | f
 default_text_search_config          | pg_catalog.english                 |      | Client Connection Defaults / Locale and Formatting                | f
 extra_float_digits                  | 0                                  |      | Client Connection Defaults / Locale and Formatting                | f
 IntervalStyle                       | postgres                           |      | Client Connection Defaults / Locale and Formatting                | f
 lc_collate                          | en_US.UTF-8                        |      | Client Connection Defaults / Locale and Formatting                | f
 lc_ctype                            | en_US.UTF-8                        |      | Client Connection Defaults / Locale and Formatting                | f
 lc_messages                         | C                                  |      | Client Connection Defaults / Locale and Formatting                | f
 lc_monetary                         | C                                  |      | Client Connection Defaults / Locale and Formatting                | f
 lc_numeric                          | C                                  |      | Client Connection Defaults / Locale and Formatting                | f
 lc_time                             | C                                  |      | Client Connection Defaults / Locale and Formatting                | f
 server_encoding                     | UTF8                               |      | Client Connection Defaults / Locale and Formatting                | f
 TimeZone                            | GMT                                |      | Client Connection Defaults / Locale and Formatting                | f
 timezone_abbreviations              | Default                            |      | Client Connection Defaults / Locale and Formatting                | f
 gin_fuzzy_search_limit              | 0                                  |      | Client Connection Defaults / Other Defaults                       | f
 tcp_keepalives_count                | 0                                  |      | Client Connection Defaults / Other Defaults                       | f
 tcp_keepalives_idle                 | 0                                  | s    | Client Connection Defaults / Other Defaults                       | f
 tcp_keepalives_interval             | 0                                  | s    | Client Connection Defaults / Other Defaults                       | f
 local_preload_libraries             |                                    |      | Client Connection Defaults / Shared Library Preloading            | f
 bytea_output                        | hex                                |      | Client Connection Defaults / Statement Behavior                   | f
 check_function_bodies               | on                                 |      | Client Connection Defaults / Statement Behavior                   | f
 default_tablespace                  |                                    |      | Client Connection Defaults / Statement Behavior                   | f
 default_transaction_deferrable      | off                                |      | Client Connection Defaults / Statement Behavior                   | f
 default_transaction_isolation       | read committed                     |      | Client Connection Defaults / Statement Behavior                   | f
